Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Bacheha-Ye aseman,1997,89,8.2,77,72867,930000,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Trainspotting,1996,93,8.2,83,669631,16500000,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Casino,1995,178,8.2,73,501887,42440000,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
Jurassic Park,1993,127,8.2,68,937422,402450000,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Unforgiven,1992,130,8.2,85,401165,101160000,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Tonari no Totoro,1988,86,8.2,86,323590,1110000,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Ran,1985,162,8.2,96,122406,4139999,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
The Thing,1982,109,8.2,57,405750,13780000,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Raging Bull,1980,129,8.2,89,343508,23380000,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Monty Python and the Holy Grail,1975,91,8.2,91,528213,1230000,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Chinatown,1974,130,8.2,92,317202,8490000,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Z,1969,127,8.2,86,27812,80000,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
The Great Escape,1963,172,8.2,86,239301,12100000,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Some Like It Hot,1959,121,8.2,98,260379,25000000,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Bridge on the River Kwai,1957,161,8.2,87,215726,44910000,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Du rififi chez les hommes,1955,118,8.2,97,33473,60000,"Four men plan a technically perfect crime, but the human element intervenes..."
